iter	RMSE
0	24.68915678
1	24.37499949
2	24.09231577
3	23.83242377
4	23.57589592
5	23.36208827
6	23.15448026
7	22.96960537
8	22.79800379
9	22.6406173
10	22.4880868
11	22.34822442
12	22.2148341
13	22.08718806
14	21.97339199
15	21.87445727
16	21.78023581
17	21.68626646
18	21.60478402
19	21.52707766
20	21.45732143
21	21.3960368
22	21.33212373
23	21.27707174
24	21.2268261
25	21.17120406
26	21.12605623
27	21.08492938
28	21.04474079
29	21.0063702
30	20.97203422
31	20.93865723
32	20.90420439
33	20.86877802
34	20.84002755
35	20.8145009
36	20.78739413
37	20.76410943
38	20.74221597
39	20.71522233
40	20.69402917
41	20.67126448
42	20.65338939
43	20.63297635
44	20.61634381
45	20.60120307
46	20.58632883
47	20.56953379
48	20.54982479
49	20.53661791
50	20.52213376
51	20.51045309
52	20.49650674
53	20.48169865
54	20.46698487
55	20.4560002
56	20.44526937
57	20.43724749
58	20.42063404
59	20.41139322
60	20.40322179
61	20.39617492
62	20.38757682
63	20.37858509
64	20.37110318
65	20.36129857
66	20.35455103
67	20.34752979
68	20.33355209
69	20.32723032
70	20.32061989
71	20.31036165
72	20.30469614
73	20.29953893
74	20.29049443
75	20.2841092
76	20.2782886
77	20.27147106
78	20.26744775
79	20.25753977
80	20.2520359
81	20.24636453
82	20.23969644
83	20.23209257
84	20.22403722
85	20.21952928
86	20.21324799
87	20.20940345
88	20.20405563
89	20.19709795
90	20.19204698
91	20.18652098
92	20.18088724
93	20.17526286
94	20.17154316
95	20.1664023
96	20.1617608
97	20.15661233
98	20.152154
99	20.14826715
100	20.14340472
101	20.13803998
102	20.13309166
103	20.12978754
104	20.12596758
105	20.11822799
106	20.11530175
107	20.11085029
108	20.10788347
109	20.1050542
110	20.09894896
111	20.09432093
112	20.08966314
113	20.08394306
114	20.08024293
115	20.07623798
116	20.07317059
117	20.06821744
118	20.06426132
119	20.05964356
120	20.05719456
121	20.05206321
122	20.04736377
123	20.04447187
124	20.0407334
125	20.03713827
126	20.03292033
127	20.03019527
128	20.02719748
129	20.02332231
130	20.0212922
131	20.01702741
132	20.01458325
133	20.01124634
134	20.00882281
135	20.00692081
136	20.00414281
137	19.99953006
138	19.99395803
139	19.99065404
140	19.98761122
141	19.9844105
142	19.98072526
143	19.9777119
144	19.97329942
145	19.97090457
146	19.96759383
147	19.96529141
148	19.96094429
149	19.95794952
150	19.95608775
151	19.95262144
152	19.95111801
153	19.94809335
154	19.94538197
155	19.94151639
156	19.93980541
157	19.93719959
158	19.93453659
159	19.93136008
160	19.92887725
161	19.92668349
162	19.92361652
163	19.92000887
164	19.91824357
165	19.91529129
166	19.91204898
167	19.90945563
168	19.9072583
169	19.90539381
170	19.90333516
171	19.9008512
172	19.89872905
173	19.89529436
174	19.89343947
175	19.89135366
176	19.88803914
177	19.88464076
178	19.88260525
179	19.87936359
180	19.87718169
181	19.87352226
182	19.87073274
183	19.867639
184	19.86629538
185	19.86446415
186	19.86226838
187	19.86065887
188	19.85803058
189	19.85554998
190	19.85271897
191	19.84801611
192	19.8437394
193	19.84074538
194	19.83867772
195	19.83667314
196	19.83536274
197	19.83404072
198	19.83232796
199	19.829708
200	19.82860178
201	19.8253185
202	19.82400508
203	19.82231979
204	19.82102505
205	19.81948244
206	19.81854517
207	19.81600374
208	19.81302442
209	19.81233351
210	19.81001372
211	19.8079815
212	19.80203543
213	19.79927212
214	19.79733828
215	19.79633567
216	19.79280797
217	19.79131772
218	19.78917241
219	19.78666886
220	19.7837973
221	19.78137044
222	19.77822344
223	19.77469729
224	19.77324046
225	19.77131718
226	19.7681553
227	19.76531549
228	19.76300997
229	19.76090889
230	19.75694774
231	19.75503159
232	19.75185824
233	19.74892994
234	19.74556156
235	19.74382104
236	19.74200908
237	19.73979871
238	19.73768309
239	19.73568547
240	19.73257047
241	19.73053089
242	19.72800649
243	19.72694114
244	19.72365776
245	19.72059166
246	19.71830317
247	19.7166942
248	19.71514644
249	19.71173982
250	19.70977709
251	19.70751163
252	19.70575785
253	19.70418254
254	19.70114082
255	19.69906812
256	19.69616595
257	19.69353976
258	19.69141361
259	19.68971973
260	19.68751468
261	19.68384738
262	19.68172202
263	19.67983369
264	19.67786615
265	19.67565273
266	19.67430262
267	19.6726697
268	19.6710574
269	19.66925329
270	19.66742803
271	19.66507886
272	19.66321234
273	19.66178596
274	19.66097608
275	19.65925137
276	19.65684326
277	19.65454488
278	19.65339482
279	19.65136132
280	19.64919432
281	19.64770074
282	19.64643554
283	19.64513681
284	19.64328867
285	19.64155586
286	19.64018113
287	19.63881562
288	19.63696525
289	19.63521776
290	19.63206137
291	19.6302662
292	19.62697279
293	19.62492441
294	19.62309987
295	19.62170854
296	19.61969381
297	19.61765285
298	19.61701694
299	19.61553587
300	19.6141755
301	19.61280565
302	19.61132261
303	19.61038329
304	19.60818903
305	19.60728455
306	19.60564249
307	19.6028781
308	19.60069876
309	19.5989483
310	19.59733275
311	19.59588604
312	19.59454
313	19.59283614
314	19.59160538
315	19.58967145
316	19.58850365
317	19.58688188
318	19.58549684
319	19.58315701
320	19.58132054
321	19.57978432
322	19.57858813
323	19.57703893
324	19.57571962
325	19.5737886
326	19.57223959
327	19.57121849
328	19.56982689
329	19.56932308
330	19.56880988
331	19.56672351
332	19.56488562
333	19.56416078
334	19.56280589
335	19.56157192
336	19.55991405
337	19.55794307
338	19.5559929
339	19.55420477
340	19.55203324
341	19.55039534
342	19.54906366
343	19.5475864
344	19.54615149
345	19.54503671
346	19.54308031
347	19.54158724
348	19.54053453
349	19.53937336
350	19.53816404
351	19.53712991
352	19.53570927
353	19.53458657
354	19.53276558
355	19.53183961
356	19.53075321
357	19.52976294
358	19.52802482
359	19.52693333
360	19.52550771
361	19.52409173
362	19.52245092
363	19.52091562
364	19.520068
365	19.5189612
366	19.51722586
367	19.51619693
368	19.51475581
369	19.51375414
370	19.51275499
371	19.51107931
372	19.51008667
373	19.50887259
374	19.50784576
375	19.50716882
376	19.50560828
377	19.50384553
378	19.50279912
379	19.5017231
380	19.50049524
381	19.49950782
382	19.49781084
383	19.49570612
384	19.49415204
385	19.49282486
386	19.4910177
387	19.48911488
388	19.48787687
389	19.48698828
390	19.48562659
391	19.48465085
392	19.48400075
393	19.48292831
394	19.48156348
395	19.48047307
396	19.47948396
397	19.47841626
398	19.47720292
399	19.47635182
400	19.47539129
401	19.47446762
402	19.47300623
403	19.47159803
404	19.4706799
405	19.4698787
406	19.46837455
407	19.46767057
408	19.46643244
409	19.46519574
410	19.46396472
411	19.46269148
412	19.46129854
413	19.45991674
414	19.45878488
415	19.45794223
416	19.45707972
417	19.45617582
418	19.45472384
419	19.45353631
420	19.45241028
421	19.45128985
422	19.4497936
423	19.44810787
424	19.44673769
425	19.44589506
426	19.44389067
427	19.44291851
428	19.44235493
429	19.44092857
430	19.43937562
